Year,Carbohydrate,Fiber,Protein,Fat,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Cholesterol
1909,0.385030864,0.022376543,0.077932099,0.091820988,0.038580247,0.034722222,0.010030864,0.339506173
1910,0.386645963,0.022515528,0.076863354,0.090838509,0.038043478,0.034161491,0.00931677,0.341614907
1911,0.377880184,0.021505376,0.075268817,0.0906298,0.037634409,0.034562212,0.00921659,0.353302611
1912,0.385758998,0.021909233,0.076682316,0.089984351,0.037558685,0.034428795,0.009389671,0.34428795
1913,0.388318863,0.022099448,0.0765588,0.091554854,0.037884767,0.034727703,0.009471192,0.339384373
1914,0.385103011,0.021394612,0.075277338,0.093502377,0.038034865,0.035657686,0.010301109,0.340729002
1915,0.383942766,0.022257552,0.074721781,0.093004769,0.038155803,0.035771065,0.010333863,0.341812401
1916,0.379614767,0.021669342,0.074638844,0.093900482,0.038523274,0.03611557,0.010433387,0.345104334
1917,0.387838948,0.023007395,0.075595727,0.092851274,0.037797864,0.036154478,0.009860312,0.336894002
1918,0.377419355,0.021774194,0.075806452,0.097580645,0.039516129,0.037903226,0.011290323,0.338709677
1919,0.380952381,0.021428571,0.073809524,0.095238095,0.038888889,0.037301587,0.011111111,0.341269841
1920,0.374898126,0.021189894,0.074164629,0.093724531,0.039119804,0.035859821,0.010594947,0.350448248
1921,0.369294606,0.020746888,0.073029046,0.094605809,0.039834025,0.034854772,0.010788382,0.356846473
1922,0.377725857,0.020249221,0.07165109,0.09423676,0.039719626,0.035046729,0.010903427,0.35046729
1923,0.362662586,0.020657995,0.071920428,0.09716909,0.04055088,0.036725325,0.010711553,0.359602142
1924,0.366261398,0.019756839,0.071428571,0.097264438,0.041033435,0.036474164,0.010638298,0.357142857
1925,0.366186505,0.019711903,0.070507961,0.097801365,0.040940106,0.037149356,0.011372252,0.356330553
1926,0.366091523,0.019504876,0.069767442,0.096774194,0.040510128,0.036009002,0.011252813,0.360090023
1927,0.366017964,0.019461078,0.070359281,0.096556886,0.040419162,0.036676647,0.011227545,0.359281437
1928,0.371428571,0.019548872,0.069924812,0.096992481,0.040601504,0.036842105,0.011278195,0.353383459
1929,0.365558912,0.020392749,0.070241692,0.098942598,0.041540785,0.037009063,0.011329305,0.354984894
1930,0.370795107,0.019877676,0.069571865,0.098623853,0.041284404,0.036697248,0.01146789,0.351681957
1931,0.363987635,0.020092736,0.070324575,0.099690881,0.041731066,0.037094281,0.011591963,0.355486862
1932,0.362123613,0.019809826,0.071315372,0.099841521,0.04199683,0.037242472,0.011093502,0.356576862
1933,0.356230032,0.019968051,0.071086262,0.100638978,0.04313099,0.037539936,0.011980831,0.35942492
1934,0.350961538,0.020032051,0.071314103,0.103365385,0.043269231,0.038461538,0.012019231,0.360576923
1935,0.366942149,0.021487603,0.07107438,0.100826446,0.042975207,0.038016529,0.011570248,0.347107438
1936,0.3576,0.0208,0.072,0.1032,0.0432,0.0392,0.012,0.352
1937,0.355932203,0.020177563,0.071832123,0.10330912,0.042776433,0.03874092,0.012106538,0.355125101
1938,0.355932203,0.020177563,0.071832123,0.10330912,0.042776433,0.03874092,0.012106538,0.355125101
1939,0.350507416,0.020296643,0.071038251,0.103825137,0.043715847,0.039032006,0.012490242,0.359094457
1940,0.341368585,0.019440124,0.071539658,0.105754277,0.044323484,0.039657854,0.01244168,0.365474339
1941,0.347328244,0.019083969,0.071755725,0.10610687,0.044274809,0.039694656,0.012977099,0.358778626
1942,0.332574032,0.019741838,0.074411541,0.104783599,0.043280182,0.039483675,0.013667426,0.372057707
1943,0.331086142,0.019475655,0.076404494,0.10411985,0.041198502,0.039700375,0.013483146,0.374531835
1944,0.327394209,0.019302153,0.075723831,0.10393467,0.041573868,0.040089087,0.013363029,0.378619154
1945,0.319321534,0.019174041,0.077433628,0.101032448,0.040560472,0.038348083,0.013274336,0.390855457
1946,0.319133034,0.018684604,0.076980568,0.103139013,0.041106129,0.03961136,0.012705531,0.388639761
1947,0.324122479,0.017176998,0.073188947,0.103061987,0.041822255,0.039581777,0.012696042,0.388349515
1948,0.31842714,0.016962221,0.072474942,0.104086353,0.041634541,0.040092521,0.01310717,0.393215112
1949,0.31919815,0.016962221,0.072474942,0.103315343,0.041634541,0.039321511,0.01387818,0.393215112
1950,0.318286151,0.016832441,0.071920428,0.106350421,0.042081102,0.04055088,0.013771997,0.39020658
1951,0.315175097,0.016342412,0.072373541,0.104280156,0.041245136,0.039688716,0.014007782,0.39688716
1952,0.312403101,0.01627907,0.072868217,0.10620155,0.041860465,0.041085271,0.013953488,0.395348837
1953,0.310747664,0.015576324,0.073208723,0.105919003,0.042056075,0.041277259,0.014018692,0.397196262
1954,0.308788599,0.015835313,0.073634204,0.107680127,0.041963579,0.041963579,0.014251781,0.395882819
1955,0.306845004,0.015735641,0.073170732,0.110149489,0.043273013,0.042486231,0.014948859,0.393391031
1956,0.303738318,0.015576324,0.073987539,0.109813084,0.042834891,0.042056075,0.014797508,0.397196262
1957,0.307445957,0.01601281,0.074459568,0.10968775,0.043234588,0.041633307,0.01521217,0.392313851
1958,0.312348668,0.015334948,0.07425343,0.10976594,0.042776433,0.042776433,0.015334948,0.387409201
1959,0.307386815,0.015885624,0.073868149,0.111199365,0.042891183,0.043685465,0.015885624,0.389197776
1960,0.314679643,0.01540957,0.074614761,0.111922141,0.04298459,0.04298459,0.0162206,0.381184104
1961,0.313868613,0.01540957,0.075425791,0.111922141,0.04298459,0.04298459,0.0162206,0.381184104
1962,0.313868613,0.01540957,0.074614761,0.112733171,0.04298459,0.04298459,0.0162206,0.381184104
1963,0.312045271,0.015359741,0.075181892,0.113177041,0.042845594,0.043654002,0.017784964,0.379951496
1964,0.310233683,0.014504432,0.075745367,0.115229654,0.043513296,0.044319098,0.017727639,0.378726833
1965,0.313773431,0.014669927,0.075794621,0.115729421,0.043194784,0.04400978,0.01792991,0.374898126
1966,0.313155771,0.015334948,0.075867635,0.117029863,0.043583535,0.04519774,0.018563358,0.371267151
1967,0.311553785,0.015139442,0.075697211,0.116334661,0.043824701,0.044621514,0.018326693,0.374501992
1968,0.31121643,0.015007899,0.075829384,0.118483412,0.043443918,0.045813586,0.018957346,0.371248025
1969,0.313091483,0.014984227,0.075709779,0.117507886,0.043375394,0.045741325,0.018927445,0.370662461
1970,0.315748031,0.01496063,0.077165354,0.115748031,0.040944882,0.045669291,0.019685039,0.37007874
1971,0.315499607,0.014948859,0.077891424,0.115656963,0.040912667,0.04563336,0.019669552,0.369787569
1972,0.314490446,0.015127389,0.078025478,0.117834395,0.041401274,0.046178344,0.020700637,0.366242038
1973,0.324696356,0.016194332,0.077732794,0.11659919,0.04048583,0.046153846,0.021862348,0.356275304
1974,0.320877335,0.015434606,0.078797725,0.118602762,0.040617384,0.046303818,0.021933387,0.357432981
1975,0.298789713,0.015128593,0.083963691,0.121028744,0.042360061,0.047655068,0.020423601,0.37065053
1976,0.2996337,0.014652015,0.084981685,0.121611722,0.042490842,0.049084249,0.021245421,0.366300366
1977,0.304886944,0.016046681,0.085339168,0.11889132,0.041575492,0.047410649,0.021152443,0.364697301
1978,0.302013423,0.014914243,0.084265474,0.121551081,0.041759881,0.04847129,0.021625652,0.365398956
1979,0.302985075,0.014925373,0.08358209,0.120895522,0.041791045,0.048507463,0.021641791,0.365671642
1980,0.304250559,0.014914243,0.082774049,0.120805369,0.041759881,0.04847129,0.021625652,0.365398956
1981,0.30952381,0.016369048,0.084077381,0.120535714,0.041666667,0.048363095,0.022321429,0.357142857
1982,0.308208955,0.01641791,0.084328358,0.120895522,0.041044776,0.048507463,0.02238806,0.358208955
1983,0.30454207,0.015636634,0.084139985,0.123603872,0.042442293,0.049143708,0.023082651,0.357408786
1984,0.303649635,0.015328467,0.083211679,0.124087591,0.043065693,0.050364964,0.022627737,0.357664234
1985,0.308351178,0.015703069,0.083511777,0.125624554,0.043540328,0.050678087,0.022840828,0.349750178
1986,0.309879176,0.015636105,0.083866382,0.125799574,0.043354655,0.050461976,0.022743426,0.348258706
1987,0.319543509,0.015691869,0.083452211,0.124108417,0.042082739,0.049928673,0.022824536,0.342368046
1988,0.323592302,0.016393443,0.084105488,0.124732716,0.042052744,0.050605845,0.023521026,0.334996436
1989,0.328011611,0.016690856,0.08490566,0.122641509,0.041364296,0.04934688,0.023222061,0.333817126
1990,0.335965542,0.017229002,0.084709261,0.11988514,0.040201005,0.048815506,0.022972003,0.330222541
1991,0.339840926,0.017353579,0.08604483,0.118582791,0.039768619,0.04989154,0.023138106,0.32537961
1992,0.337134711,0.017106201,0.085531005,0.119743407,0.039914469,0.049893086,0.022808268,0.327868852
1993,0.342067989,0.016997167,0.084985836,0.121813031,0.040368272,0.051699717,0.023371105,0.318696884
1994,0.343377715,0.0168185,0.085494043,0.119131044,0.039243167,0.051156272,0.022424667,0.32235459
1995,0.344585091,0.016877637,0.085091421,0.11814346,0.039381153,0.049929677,0.022503516,0.323488045
1996,0.34965035,0.017482517,0.085314685,0.116083916,0.038461538,0.04965035,0.021678322,0.321678322
1997,0.354225352,0.017605634,0.085211268,0.116197183,0.038028169,0.049295775,0.022535211,0.316901408
1998,0.35097493,0.016713092,0.084958217,0.116295265,0.038997214,0.049442897,0.022284123,0.320334262
1999,0.34375,0.016983696,0.08423913,0.117527174,0.039402174,0.049592391,0.022418478,0.326086957
2000,0.337341349,0.016700067,0.082832331,0.12758851,0.041416166,0.055444222,0.024716099,0.313961256
2001,0.335345406,0.016096579,0.081824279,0.128772636,0.04091214,0.056338028,0.025486251,0.315224681
2002,0.327597617,0.015883521,0.081403044,0.13170086,0.041694242,0.057577763,0.026472535,0.317670417
2003,0.324966975,0.015852048,0.081902246,0.1334214,0.042272127,0.058124174,0.026420079,0.317040951
2004,0.321967213,0.016393443,0.081967213,0.132459016,0.041967213,0.057704918,0.026229508,0.321311475
2005,0.328619529,0.016835017,0.082828283,0.130639731,0.041077441,0.056565657,0.026936027,0.316498316
2006,0.324197861,0.01671123,0.082887701,0.131016043,0.04144385,0.055481283,0.027406417,0.320855615
2007,0.324543611,0.016227181,0.0831643,0.132521974,0.041244084,0.055442867,0.029073698,0.317782285
2008,0.324728261,0.016304348,0.082201087,0.131793478,0.04076087,0.054347826,0.030570652,0.319293478
2009,0.328451883,0.016736402,0.083682008,0.129009763,0.039748954,0.052301255,0.029288703,0.320781032
2010,0.327122153,0.017253278,0.082815735,0.131124914,0.040717736,0.053140097,0.030365769,0.317460317