year,species,prob
1909,Carbohydrate,0.385030864
1909,Fiber,0.022376543
1909,Protein,0.077932099
1909,Fat,0.091820988
1909,Saturated Fatty Acids,0.038580247
1909,Monounsaturated Fatty Acids,0.034722222
1909,Polyunsaturated Fatty Acids,0.010030864
1909,Cholesterol,0.339506173
1910,Carbohydrate,0.386645963
1910,Fiber,0.022515528
1910,Protein,0.076863354
1910,Fat,0.090838509
1910,Saturated Fatty Acids,0.038043478
1910,Monounsaturated Fatty Acids,0.034161491
1910,Polyunsaturated Fatty Acids,0.00931677
1910,Cholesterol,0.341614907
1911,Carbohydrate,0.377880184
1911,Fiber,0.021505376
1911,Protein,0.075268817
1911,Fat,0.0906298
1911,Saturated Fatty Acids,0.037634409
1911,Monounsaturated Fatty Acids,0.034562212
1911,Polyunsaturated Fatty Acids,0.00921659
1911,Cholesterol,0.353302611
1912,Carbohydrate,0.385758998
1912,Fiber,0.021909233
1912,Protein,0.076682316
1912,Fat,0.089984351
1912,Saturated Fatty Acids,0.037558685
1912,Monounsaturated Fatty Acids,0.034428795
1912,Polyunsaturated Fatty Acids,0.009389671
1912,Cholesterol,0.34428795
1913,Carbohydrate,0.388318863
1913,Fiber,0.022099448
1913,Protein,0.0765588
1913,Fat,0.091554854
1913,Saturated Fatty Acids,0.037884767
1913,Monounsaturated Fatty Acids,0.034727703
1913,Polyunsaturated Fatty Acids,0.009471192
1913,Cholesterol,0.339384373
1914,Carbohydrate,0.385103011
1914,Fiber,0.021394612
1914,Protein,0.075277338
1914,Fat,0.093502377
1914,Saturated Fatty Acids,0.038034865
1914,Monounsaturated Fatty Acids,0.035657686
1914,Polyunsaturated Fatty Acids,0.010301109
1914,Cholesterol,0.340729002
1915,Carbohydrate,0.383942766
1915,Fiber,0.022257552
1915,Protein,0.074721781
1915,Fat,0.093004769
1915,Saturated Fatty Acids,0.038155803
1915,Monounsaturated Fatty Acids,0.035771065
1915,Polyunsaturated Fatty Acids,0.010333863
1915,Cholesterol,0.341812401
1916,Carbohydrate,0.379614767
1916,Fiber,0.021669342
1916,Protein,0.074638844
1916,Fat,0.093900482
1916,Saturated Fatty Acids,0.038523274
1916,Monounsaturated Fatty Acids,0.03611557
1916,Polyunsaturated Fatty Acids,0.010433387
1916,Cholesterol,0.345104334
1917,Carbohydrate,0.387838948
1917,Fiber,0.023007395
1917,Protein,0.075595727
1917,Fat,0.092851274
1917,Saturated Fatty Acids,0.037797864
1917,Monounsaturated Fatty Acids,0.036154478
1917,Polyunsaturated Fatty Acids,0.009860312
1917,Cholesterol,0.336894002
1918,Carbohydrate,0.377419355
1918,Fiber,0.021774194
1918,Protein,0.075806452
1918,Fat,0.097580645
1918,Saturated Fatty Acids,0.039516129
1918,Monounsaturated Fatty Acids,0.037903226
1918,Polyunsaturated Fatty Acids,0.011290323
1918,Cholesterol,0.338709677
1919,Carbohydrate,0.380952381
1919,Fiber,0.021428571
1919,Protein,0.073809524
1919,Fat,0.095238095
1919,Saturated Fatty Acids,0.038888889
1919,Monounsaturated Fatty Acids,0.037301587
1919,Polyunsaturated Fatty Acids,0.011111111
1919,Cholesterol,0.341269841
1920,Carbohydrate,0.374898126
1920,Fiber,0.021189894
1920,Protein,0.074164629
1920,Fat,0.093724531
1920,Saturated Fatty Acids,0.039119804
1920,Monounsaturated Fatty Acids,0.035859821
1920,Polyunsaturated Fatty Acids,0.010594947
1920,Cholesterol,0.350448248
1921,Carbohydrate,0.369294606
1921,Fiber,0.020746888
1921,Protein,0.073029046
1921,Fat,0.094605809
1921,Saturated Fatty Acids,0.039834025
1921,Monounsaturated Fatty Acids,0.034854772
1921,Polyunsaturated Fatty Acids,0.010788382
1921,Cholesterol,0.356846473
1922,Carbohydrate,0.377725857
1922,Fiber,0.020249221
1922,Protein,0.07165109
1922,Fat,0.09423676
1922,Saturated Fatty Acids,0.039719626
1922,Monounsaturated Fatty Acids,0.035046729
1922,Polyunsaturated Fatty Acids,0.010903427
1922,Cholesterol,0.35046729
1923,Carbohydrate,0.362662586
1923,Fiber,0.020657995
1923,Protein,0.071920428
1923,Fat,0.09716909
1923,Saturated Fatty Acids,0.04055088
1923,Monounsaturated Fatty Acids,0.036725325
1923,Polyunsaturated Fatty Acids,0.010711553
1923,Cholesterol,0.359602142
1924,Carbohydrate,0.366261398
1924,Fiber,0.019756839
1924,Protein,0.071428571
1924,Fat,0.097264438
1924,Saturated Fatty Acids,0.041033435
1924,Monounsaturated Fatty Acids,0.036474164
1924,Polyunsaturated Fatty Acids,0.010638298
1924,Cholesterol,0.357142857
1925,Carbohydrate,0.366186505
1925,Fiber,0.019711903
1925,Protein,0.070507961
1925,Fat,0.097801365
1925,Saturated Fatty Acids,0.040940106
1925,Monounsaturated Fatty Acids,0.037149356
1925,Polyunsaturated Fatty Acids,0.011372252
1925,Cholesterol,0.356330553
1926,Carbohydrate,0.366091523
1926,Fiber,0.019504876
1926,Protein,0.069767442
1926,Fat,0.096774194
1926,Saturated Fatty Acids,0.040510128
1926,Monounsaturated Fatty Acids,0.036009002
1926,Polyunsaturated Fatty Acids,0.011252813
1926,Cholesterol,0.360090023
1927,Carbohydrate,0.366017964
1927,Fiber,0.019461078
1927,Protein,0.070359281
1927,Fat,0.096556886
1927,Saturated Fatty Acids,0.040419162
1927,Monounsaturated Fatty Acids,0.036676647
1927,Polyunsaturated Fatty Acids,0.011227545
1927,Cholesterol,0.359281437
1928,Carbohydrate,0.371428571
1928,Fiber,0.019548872
1928,Protein,0.069924812
1928,Fat,0.096992481
1928,Saturated Fatty Acids,0.040601504
1928,Monounsaturated Fatty Acids,0.036842105
1928,Polyunsaturated Fatty Acids,0.011278195
1928,Cholesterol,0.353383459
1929,Carbohydrate,0.365558912
1929,Fiber,0.020392749
1929,Protein,0.070241692
1929,Fat,0.098942598
1929,Saturated Fatty Acids,0.041540785
1929,Monounsaturated Fatty Acids,0.037009063
1929,Polyunsaturated Fatty Acids,0.011329305
1929,Cholesterol,0.354984894
1930,Carbohydrate,0.370795107
1930,Fiber,0.019877676
1930,Protein,0.069571865
1930,Fat,0.098623853
1930,Saturated Fatty Acids,0.041284404
1930,Monounsaturated Fatty Acids,0.036697248
1930,Polyunsaturated Fatty Acids,0.01146789
1930,Cholesterol,0.351681957
1931,Carbohydrate,0.363987635
1931,Fiber,0.020092736
1931,Protein,0.070324575
1931,Fat,0.099690881
1931,Saturated Fatty Acids,0.041731066
1931,Monounsaturated Fatty Acids,0.037094281
1931,Polyunsaturated Fatty Acids,0.011591963
1931,Cholesterol,0.355486862
1932,Carbohydrate,0.362123613
1932,Fiber,0.019809826
1932,Protein,0.071315372
1932,Fat,0.099841521
1932,Saturated Fatty Acids,0.04199683
1932,Monounsaturated Fatty Acids,0.037242472
1932,Polyunsaturated Fatty Acids,0.011093502
1932,Cholesterol,0.356576862
1933,Carbohydrate,0.356230032
1933,Fiber,0.019968051
1933,Protein,0.071086262
1933,Fat,0.100638978
1933,Saturated Fatty Acids,0.04313099
1933,Monounsaturated Fatty Acids,0.037539936
1933,Polyunsaturated Fatty Acids,0.011980831
1933,Cholesterol,0.35942492
1934,Carbohydrate,0.350961538
1934,Fiber,0.020032051
1934,Protein,0.071314103
1934,Fat,0.103365385
1934,Saturated Fatty Acids,0.043269231
1934,Monounsaturated Fatty Acids,0.038461538
1934,Polyunsaturated Fatty Acids,0.012019231
1934,Cholesterol,0.360576923
1935,Carbohydrate,0.366942149
1935,Fiber,0.021487603
1935,Protein,0.07107438
1935,Fat,0.100826446
1935,Saturated Fatty Acids,0.042975207
1935,Monounsaturated Fatty Acids,0.038016529
1935,Polyunsaturated Fatty Acids,0.011570248
1935,Cholesterol,0.347107438
1936,Carbohydrate,0.3576
1936,Fiber,0.0208
1936,Protein,0.072
1936,Fat,0.1032
1936,Saturated Fatty Acids,0.0432
1936,Monounsaturated Fatty Acids,0.0392
1936,Polyunsaturated Fatty Acids,0.012
1936,Cholesterol,0.352
1937,Carbohydrate,0.355932203
1937,Fiber,0.020177563
1937,Protein,0.071832123
1937,Fat,0.10330912
1937,Saturated Fatty Acids,0.042776433
1937,Monounsaturated Fatty Acids,0.03874092
1937,Polyunsaturated Fatty Acids,0.012106538
1937,Cholesterol,0.355125101
1938,Carbohydrate,0.355932203
1938,Fiber,0.020177563
1938,Protein,0.071832123
1938,Fat,0.10330912
1938,Saturated Fatty Acids,0.042776433
1938,Monounsaturated Fatty Acids,0.03874092
1938,Polyunsaturated Fatty Acids,0.012106538
1938,Cholesterol,0.355125101
1939,Carbohydrate,0.350507416
1939,Fiber,0.020296643
1939,Protein,0.071038251
1939,Fat,0.103825137
1939,Saturated Fatty Acids,0.043715847
1939,Monounsaturated Fatty Acids,0.039032006
1939,Polyunsaturated Fatty Acids,0.012490242
1939,Cholesterol,0.359094457
1940,Carbohydrate,0.341368585
1940,Fiber,0.019440124
1940,Protein,0.071539658
1940,Fat,0.105754277
1940,Saturated Fatty Acids,0.044323484
1940,Monounsaturated Fatty Acids,0.039657854
1940,Polyunsaturated Fatty Acids,0.01244168
1940,Cholesterol,0.365474339
1941,Carbohydrate,0.347328244
1941,Fiber,0.019083969
1941,Protein,0.071755725
1941,Fat,0.10610687
1941,Saturated Fatty Acids,0.044274809
1941,Monounsaturated Fatty Acids,0.039694656
1941,Polyunsaturated Fatty Acids,0.012977099
1941,Cholesterol,0.358778626
1942,Carbohydrate,0.332574032
1942,Fiber,0.019741838
1942,Protein,0.074411541
1942,Fat,0.104783599
1942,Saturated Fatty Acids,0.043280182
1942,Monounsaturated Fatty Acids,0.039483675
1942,Polyunsaturated Fatty Acids,0.013667426
1942,Cholesterol,0.372057707
1943,Carbohydrate,0.331086142
1943,Fiber,0.019475655
1943,Protein,0.076404494
1943,Fat,0.10411985
1943,Saturated Fatty Acids,0.041198502
1943,Monounsaturated Fatty Acids,0.039700375
1943,Polyunsaturated Fatty Acids,0.013483146
1943,Cholesterol,0.374531835
1944,Carbohydrate,0.327394209
1944,Fiber,0.019302153
1944,Protein,0.075723831
1944,Fat,0.10393467
1944,Saturated Fatty Acids,0.041573868
1944,Monounsaturated Fatty Acids,0.040089087
1944,Polyunsaturated Fatty Acids,0.013363029
1944,Cholesterol,0.378619154
1945,Carbohydrate,0.319321534
1945,Fiber,0.019174041
1945,Protein,0.077433628
1945,Fat,0.101032448
1945,Saturated Fatty Acids,0.040560472
1945,Monounsaturated Fatty Acids,0.038348083
1945,Polyunsaturated Fatty Acids,0.013274336
1945,Cholesterol,0.390855457
1946,Carbohydrate,0.319133034
1946,Fiber,0.018684604
1946,Protein,0.076980568
1946,Fat,0.103139013
1946,Saturated Fatty Acids,0.041106129
1946,Monounsaturated Fatty Acids,0.03961136
1946,Polyunsaturated Fatty Acids,0.012705531
1946,Cholesterol,0.388639761
1947,Carbohydrate,0.324122479
1947,Fiber,0.017176998
1947,Protein,0.073188947
1947,Fat,0.103061987
1947,Saturated Fatty Acids,0.041822255
1947,Monounsaturated Fatty Acids,0.039581777
1947,Polyunsaturated Fatty Acids,0.012696042
1947,Cholesterol,0.388349515
1948,Carbohydrate,0.31842714
1948,Fiber,0.016962221
1948,Protein,0.072474942
1948,Fat,0.104086353
1948,Saturated Fatty Acids,0.041634541
1948,Monounsaturated Fatty Acids,0.040092521
1948,Polyunsaturated Fatty Acids,0.01310717
1948,Cholesterol,0.393215112
1949,Carbohydrate,0.31919815
1949,Fiber,0.016962221
1949,Protein,0.072474942
1949,Fat,0.103315343
1949,Saturated Fatty Acids,0.041634541
1949,Monounsaturated Fatty Acids,0.039321511
1949,Polyunsaturated Fatty Acids,0.01387818
1949,Cholesterol,0.393215112
1950,Carbohydrate,0.318286151
1950,Fiber,0.016832441
1950,Protein,0.071920428
1950,Fat,0.106350421
1950,Saturated Fatty Acids,0.042081102
1950,Monounsaturated Fatty Acids,0.04055088
1950,Polyunsaturated Fatty Acids,0.013771997
1950,Cholesterol,0.39020658
1951,Carbohydrate,0.315175097
1951,Fiber,0.016342412
1951,Protein,0.072373541
1951,Fat,0.104280156
1951,Saturated Fatty Acids,0.041245136
1951,Monounsaturated Fatty Acids,0.039688716
1951,Polyunsaturated Fatty Acids,0.014007782
1951,Cholesterol,0.39688716
1952,Carbohydrate,0.312403101
1952,Fiber,0.01627907
1952,Protein,0.072868217
1952,Fat,0.10620155
1952,Saturated Fatty Acids,0.041860465
1952,Monounsaturated Fatty Acids,0.041085271
1952,Polyunsaturated Fatty Acids,0.013953488
1952,Cholesterol,0.395348837
1953,Carbohydrate,0.310747664
1953,Fiber,0.015576324
1953,Protein,0.073208723
1953,Fat,0.105919003
1953,Saturated Fatty Acids,0.042056075
1953,Monounsaturated Fatty Acids,0.041277259
1953,Polyunsaturated Fatty Acids,0.014018692
1953,Cholesterol,0.397196262
1954,Carbohydrate,0.308788599
1954,Fiber,0.015835313
1954,Protein,0.073634204
1954,Fat,0.107680127
1954,Saturated Fatty Acids,0.041963579
1954,Monounsaturated Fatty Acids,0.041963579
1954,Polyunsaturated Fatty Acids,0.014251781
1954,Cholesterol,0.395882819
1955,Carbohydrate,0.306845004
1955,Fiber,0.015735641
1955,Protein,0.073170732
1955,Fat,0.110149489
1955,Saturated Fatty Acids,0.043273013
1955,Monounsaturated Fatty Acids,0.042486231
1955,Polyunsaturated Fatty Acids,0.014948859
1955,Cholesterol,0.393391031
1956,Carbohydrate,0.303738318
1956,Fiber,0.015576324
1956,Protein,0.073987539
1956,Fat,0.109813084
1956,Saturated Fatty Acids,0.042834891
1956,Monounsaturated Fatty Acids,0.042056075
1956,Polyunsaturated Fatty Acids,0.014797508
1956,Cholesterol,0.397196262
1957,Carbohydrate,0.307445957
1957,Fiber,0.01601281
1957,Protein,0.074459568
1957,Fat,0.10968775
1957,Saturated Fatty Acids,0.043234588
1957,Monounsaturated Fatty Acids,0.041633307
1957,Polyunsaturated Fatty Acids,0.01521217
1957,Cholesterol,0.392313851
1958,Carbohydrate,0.312348668
1958,Fiber,0.015334948
1958,Protein,0.07425343
1958,Fat,0.10976594
1958,Saturated Fatty Acids,0.042776433
1958,Monounsaturated Fatty Acids,0.042776433
1958,Polyunsaturated Fatty Acids,0.015334948
1958,Cholesterol,0.387409201
1959,Carbohydrate,0.307386815
1959,Fiber,0.015885624
1959,Protein,0.073868149
1959,Fat,0.111199365
1959,Saturated Fatty Acids,0.042891183
1959,Monounsaturated Fatty Acids,0.043685465
1959,Polyunsaturated Fatty Acids,0.015885624
1959,Cholesterol,0.389197776
